OBJECTID,SURFTYPE,SURFUSE,SHAPE_Length,SHAPE_Area
278,Asphalt,Parking Lot,231.668939841123,1469.927741124
279,Asphalt,Parking Lot,145.985915327348,924.974266593156
280,Asphalt,Parking Lot,948.215968075331,14239.4875028498
281,Asphalt,Parking Lot,296.876846982062,3408.2455739866
282,Asphalt,Parking Lot,76.083450706099,112.523629983411
283,Asphalt,Parking Lot,827.739666162765,5662.90843309984
284,Asphalt,Parking Lot,77.3277248853306,323.964024542126
285,Asphalt,Parking Lot,797.257444115332,32506.8787377528
286,Asphalt,Parking Lot,76.0493892883765,211.02309587909
287,Asphalt,Parking Lot,235.651770048343,2081.03790187994
288,Asphalt,Parking Lot,73.351409696573,199.635145460453
289,Asphalt,Parking Lot,75.3047786168857,239.119501571963
290,Concrete,Parking Lot,85.8566021057801,343.332850480732
291,Asphalt,Parking Lot,137.085018107213,849.333042856515
292,Asphalt,Parking Lot,334.536112395186,2587.63591546345
293,Asphalt,Parking Lot,149.203050106271,964.024259683573
294,Asphalt,Parking Lot,346.308746658185,3401.88392967396
295,Asphalt,Parking Lot,192.876497061389,1145.28298228318
296,Asphalt,Parking Lot,52.240241451803,95.7600899862882
297,Asphalt,Parking Lot,139.820941696722,372.048542514613
298,Asphalt,Parking Lot,187.408496383274,1839.5143886307
299,Asphalt,Parking Lot,50.7474234614342,125.678774830372
300,Asphalt,Parking Lot,957.203649304455,10858.0468600369
301,Concrete,Parking Lot,32.3916646381605,47.7171980257404
302,Asphalt,Parking Lot,694.87886387158,3740.49449268267
303,Asphalt,Parking Lot,75.8346284641803,238.612501744141
304,Asphalt,Parking Lot,367.46699728019,1970.41932738881
305,Asphalt,Parking Lot,508.719156104308,1682.20698094159
